,Year,Month,CT(Cargo Throughput),Date,Stay Time
0,2013,1,25931591,2013-01-01,1131.9
1,2013,2,23666539,2013-02-01,1088.9
2,2013,3,28492456,2013-03-01,1209.7
3,2013,4,28086874,2013-04-01,1241.2
4,2013,5,27377204,2013-05-01,1211.2
5,2013,6,27541518,2013-06-01,1233.5
6,2013,7,27815419,2013-07-01,1261.3
7,2013,8,26794174,2013-08-01,991.9
8,2013,9,26233417,2013-09-01,1075.7
9,2013,10,27140509,2013-10-01,963.6
10,2013,11,27335093,2013-11-01,1140.9
11,2013,12,28443430,2013-12-01,1233.5
12,2014,1,28718248,2014-01-01,1163.6
13,2014,2,24010372,2014-02-01,1045.5
14,2014,3,30298679,2014-03-01,1185.7
15,2014,4,30092612,2014-04-01,1195.4
16,2014,5,28716862,2014-05-01,1158.2
17,2014,6,29514452,2014-06-01,1234.7
18,2014,7,29445222,2014-07-01,1115.0
19,2014,8,29026785,2014-08-01,1168.3
20,2014,9,28323558,2014-09-01,914.1
21,2014,10,30752119,2014-10-01,1084.8
22,2014,11,28571963,2014-11-01,1146.9
23,2014,12,29169199,2014-12-01,1102.7
24,2015,1,30673861,2015-01-01,1130.9
25,2015,2,28924627,2015-02-01,1443.9
26,2015,3,30688867,2015-03-01,1578.1
27,2015,4,30526444,2015-04-01,1586.3
28,2015,5,30126098,2015-05-01,1641.5
29,2015,6,29850189,2015-06-01,1566.0
30,2015,7,30167786,2015-07-01,1629.9
31,2015,8,29924054,2015-08-01,1550.0
32,2015,9,30073055,2015-09-01,1573.4
33,2015,10,30241509,2015-10-01,1583.6
34,2015,11,28519892,2015-11-01,1424.9
35,2015,12,29959961,2015-12-01,1553.2
36,2016,1,28864749,2016-01-01,1440.0
37,2016,2,28751643,2016-02-01,1499.3
38,2016,3,31035995,2016-03-01,1491.6
39,2016,4,29274828,2016-04-01,1443.7
40,2016,5,30877161,2016-05-01,1479.5
41,2016,6,29863265,2016-06-01,1461.2
42,2016,7,31845532,2016-07-01,1679.3
43,2016,8,30391960,2016-08-01,1478.5
44,2016,9,29719597,2016-09-01,1658.9
45,2016,10,31736426,2016-10-01,1667.4
46,2016,11,30037019,2016-11-01,1600.6
47,2016,12,29971189,2016-12-01,1737.1
48,2017,1,34063801,2017-01-01,1658.0
49,2017,2,27992248,2017-02-01,1619.6
50,2017,3,33969570,2017-03-01,1733.4
51,2017,4,34724824,2017-04-01,1733.7
52,2017,5,32694199,2017-05-01,1455.3
53,2017,6,41245914,2017-06-01,1168.5
54,2017,7,34928780,2017-07-01,1194.4
55,2017,8,32011052,2017-08-01,1290.5
56,2017,9,31256433,2017-09-01,1276.5
57,2017,10,31541818,2017-10-01,1319.4
58,2017,11,32625412,2017-11-01,1287.0
59,2017,12,34178618,2017-12-01,1373.1
60,2018,1,31814383,2018-01-01,1261.7
61,2018,2,31500678,2018-02-01,1253.0
62,2018,3,32369844,2018-03-01,1363.8
63,2018,4,37268624,2018-04-01,1456.0
64,2018,5,44502216,2018-05-01,1638.2
65,2018,6,40113927,2018-06-01,1482.0
66,2018,7,43897826,2018-07-01,1633.0
67,2018,8,39286924,2018-08-01,1511.7
68,2018,9,40381704,2018-09-01,1352.1
69,2018,10,39775468,2018-10-01,1189.5
70,2018,11,40345779,2018-11-01,1380.9
71,2018,12,40204128,2018-12-01,1253.0
72,2019,1,36930816,2019-01-01,1271.0
73,2019,2,34907515,2019-02-01,1108.0
74,2019,3,38811121,2019-03-01,1424.0
75,2019,4,37209631,2019-04-01,1256.0
76,2019,5,39175193,2019-05-01,1517.0
77,2019,6,42084981,2019-06-01,1279.0
78,2019,7,41906812,2019-07-01,1421.0
79,2019,8,43272732,2019-08-01,1407.0
80,2019,9,37680518,2019-09-01,1293.0
81,2019,10,39331626,2019-10-01,1265.2
82,2019,11,37103263,2019-11-01,1329.1
83,2019,12,40346361,2019-12-01,1342.7
84,2020,1,34515431,2020-01-01,1686.5
85,2020,2,31583023,2020-02-01,1485.0
86,2020,3,36414373,2020-03-01,1742.0
87,2020,4,32637170,2020-04-01,1542.0
88,2020,5,31540447,2020-05-01,1548.0
89,2020,6,32549285,2020-06-01,1660.0
90,2020,7,33512358,2020-07-01,1696.0
91,2020,8,33184113,2020-08-01,1797.0
92,2020,9,33729209,2020-09-01,1617.0
93,2020,10,36940414,2020-10-01,1887.0
94,2020,11,37864868,2020-11-01,1847.0
95,2020,12,36482972,2020-12-01,1865.5
96,2021,1,35773693,2021-01-01,1934.0
