,Year,GT(Gross Tonnage),CT(Cargo Throughput)
0,2013,0.09971189831043503,0.0
1,2014,0.0,0.1513654763582899
2,2015,0.5424213554233086,0.24195657826145922
3,2016,0.8337423655872138,0.26067080421795774
4,2017,0.8262659600023508,0.5307380154228896
5,2018,0.9220689670392144,0.9492776299093664
6,2019,1.0,1.0
7,2020,0.8163707851089805,0.5982907297306377
8,2021,0.2804535492831821,0.8179191937421173
9,2022,0.32280408897117674,0.6964820343963121
10,2023,0.9216994403317349,0.7630909350365345
11,2024,0.7610511085433416,0.9633615769082846
