,name,rating,category1,category2,lat,lng,address
0,진미식당,4.0,restaurant,간이음식점 ,35.1078578,129.0373338, 중앙동4가 81-20
1,종필이집,4.5,restaurant,음식점 ,35.1118743,129.0351068, 영주제1동 599-5
3,대하가야밀면,4.5,restaurant,음식점 ,35.1090718,129.0381316, 중앙동4가 78-24
4,시민카츠 중앙점,4.2,restaurant,일식 ,35.1046749,129.0356986, 해관로 64-2
5,생강나무,5.0,restaurant,간이음식점 ,35.1071441,129.0387649, 번지 40-17 KR 부산광역시 중구 중앙동4가
6,유원(留園),4.3,restaurant,중식 ,35.1079918,129.0376519, 충장대로9번길 29 보전빌딩 B1
7,대영정,4.0,restaurant,한식 ,35.1079788,129.0373868, 충장대로5번길 32
8,말자씨부엌,4.3,restaurant,음식점 ,35.1044444,129.0357154, 중앙동 해관로 62-1 대양빌딩 1층
9,조은참치 중앙점,4.4,restaurant,음식점 ,35.1059679,129.0371182, 중앙동4가 88-6
10,상짱,4.2,restaurant,일식 ,35.1042934,129.0353455, 해관로 59-1
11,호렌소,4.5,restaurant,일식 ,35.1056455,129.034969, 동광길 66 104호
12,Pho Trang 퍼짱,4.5,restaurant,베트남 요리 ,35.1072066,129.0374382, 충장대로9번길 21
13,홍문,4.1,restaurant,중식 ,35.1043393,129.0357391, 해관로 60-3
14,자연속의밥상,5.0,restaurant,채식 ,35.1086277,129.0377334, 충장대로5번길 51층
15,김명자 굴국밥,5.0,restaurant,음식점 ,35.1086313,129.037677, 중앙동4가 81-6
16,흥복,4.2,restaurant,중식 ,35.1074677,129.0372433, 충장대로5번길 24
17,임페리아(부산 초량동),4.5,restaurant,미국 서부 요리 ,35.1141269,129.0383423, 대영로243번길 46
18,미락정,4.2,restaurant,한식 ,35.1150693,129.037095, 초량제1동 1213-14
20,하라쿠시동,4.1,restaurant,일식 ,35.1053295,129.0356374, 해관로 72-1 1층
21,오니기리와이규동 부산역점,4.2,restaurant,일식 ,35.1166592,129.0400771, 대영로243번길 109
22,영주김밥,4.7,restaurant,김밥전문점 ,35.1118743,129.0351068, 영주제1동 23-10
23,자매꼬치구이,4.6,restaurant,중식 ,35.1107321,129.0367418, 영주동 631-3번지 중구 부산광역시 KR
24,오오키니,4.7,restaurant,일식 ,35.1065653,129.037611, 충장대로9번길 14
25,참맛나,4.7,restaurant,한식 ,35.1094972,129.0380647, 중앙동4가 78-17
26,생복집,4.0,restaurant,한식 ,35.1077715,129.0376152, 중앙대로116번길 7-1
27,뜨라또리아 다 루까,4.3,restaurant,이탈리아 요리 ,35.1020027,129.0315082, 대청동2가 30-11번지 중구 부산광역시 KR
28,새포항물회,4.6,restaurant,음식점 ,35.1087054,129.03771, 충장대로5번길 40
29,웨이브 히츠마부시,4.5,restaurant,일식 ,35.1005383,129.0372807, 중앙동6가 대교로 115-1
30,할매복국,4.1,restaurant,복어 요리 전문식당 ,35.112333,129.0353778, 대영로 225-1
31,굽 바다를 구워내다,5.0,restaurant,철판구이 ,35.1039711,129.0346263, 중앙동 대청로135번길 13
32,옛날돈가스 중앙점,4.2,restaurant,돈까스 전문식당 ,35.1083785,129.0375643, 충장대로5번길 36
33,락천각,4.3,restaurant,중식 ,35.1131286,129.0374304, 대영로243번길 17-1
34,상상짬뽕 부산역점,4.1,restaurant,중식 ,35.1133806,129.0398098, 초량동 1204-10번지
35,에몽데,4.7,restaurant,프랑스 요리 ,35.1029819,129.0326552, 대청로 115 2층
36,광어가,4.5,restaurant,해산물 요리 ,35.1062864,129.0355379, 중앙동4가 62-2번지 1호 2층 중구 부산광역시 KR
37,평산옥,4.1,restaurant,한식 ,35.1142786,129.037117, 초량중로 26
38,일품향,4.3,restaurant,중식 ,35.113048,129.0379472, 대영로247번길 17
40,천리향고향만두,4.2,restaurant,중식 ,35.1129796,129.0376677, 초량동 618-1
41,건영횟집,4.0,restaurant,한식 ,35.1094918,129.0383225, 중앙동4가 78-31
42,꽃가람,4.5,restaurant,한식 ,35.1099857,129.0385441, 충장대로9번길 53
43,고민끝에여기,4.5,restaurant,멕시코 요리 ,35.1126898,129.0370782, 대영로239번길 12
44,원조18번완당,4.2,restaurant,음식점 ,35.1056935,129.0204671, 구덕로238번길 6
45,황태를벗삼아,4.0,restaurant,한식 ,35.1037144,129.035082, 대청로137번길 10-1
46,어작,5.0,restaurant,한식 ,35.1038118,129.0346246, 대청로135번길 11 1층 어작
47,용문,4.1,restaurant,음식점 ,35.1011415,129.0347647, 중앙동 중앙대로41번길 14-1
48,겐짱카레 본점,4.1,restaurant,일본 카레 ,35.1051389,129.0349682, 중앙동4가 42-2
49,라무야애,5.0,restaurant,양고기 바베큐 전문점 ,35.1054682,129.0356916, 중앙동4가 53-40
50,산동완탕교자관,4.1,restaurant,중식 ,35.1226417,129.0452615, 초량동 1160-11
51,투쉐프 2Chef,4.0,restaurant,이자카야 ,35.1034002,129.0354519, 해관로 49-1
52,LA즉석돈까스,4.7,restaurant,돈까스 전문식당 ,35.1040564,129.0350873, 40계단길 7
53,중앙동 카도,4.1,restaurant,이자카야 ,35.1078578,129.0373338, 중앙대로116번길 5
55,소당한그릇,4.0,restaurant,라면 ,35.1177516,129.044803, 초량동 1187-20
57,디노호텔,4.1,hotel,3성급 호텔,35.1159158,129.0388327,
58,지엔비호텔,4.0,hotel,4성급 호텔,35.1012701,129.0248275,
59,크라운하버호텔부산,4.1,hotel,4성급 호텔,35.1075763,129.0368111,
60,비센트호텔 (Bcent Hotel),4.0,hotel,2성급 호텔,35.110773,129.0392934,
61,코모도호텔 부산,4.1,hotel,4성급 호텔,35.1090506,129.0350539,
62,아몬드호텔,4.0,hotel,3성급 호텔,35.1137745,129.0406742,
63,커넥트 부산호텔 & 레지던스,4.0,hotel,호텔,35.1004686,129.0374636,
64,토요코인 부산 중앙역,4.1,hotel,3성급 호텔,35.1090995,129.0366143,
65,아스티호텔 부산,4.4,hotel,4성급 호텔,35.1161875,129.0417344,
66,센트럴파크 호텔 부산,4.1,hotel,3성급 호텔,35.1003571,129.0359264,
67,부산뷰호텔,4.0,hotel,호텔,35.1133526,129.04058,
