Harbor Name,Year,Ship Count,GT(Gross Tonnage)
부산항(전체),2013,"19,184","508,030,094"
부산항(전체),2014,"17,971","495,830,773"
부산항(전체),2015,"19,152","562,193,688"
부산항(전체),2016,"19,746","597,835,558"
부산항(전체),2017,"19,672","596,920,852"
부산항(전체),2018,"19,185","608,641,937"
부산항(전체),2019,"19,386","618,176,463"
부산항(전체),2020,"17,964","595,710,220"
부산항(전체),2021,"16,293","530,143,056"
부산항(전체),2022,"16,684","535,324,462"
부산항(전체),2023,"17,949","608,596,727"
부산항(전체),2024,"16,666","588,942,096"
부산항(전체),2025,"2,390","93,732,292"
