,Harbor Name,Year,Ship Count,GT(Gross Tonnage)
0,감천항,2013,1887,10862279
1,감천항,2014,1661,10162338
2,감천항,2015,1596,10272310
3,감천항,2016,1568,9246336
4,감천항,2017,1595,9215009
5,감천항,2018,1618,10584856
6,감천항,2019,1854,11352890
7,감천항,2020,1670,10541506
8,감천항,2021,1604,10758925
9,감천항,2022,1755,11891261
10,감천항,2023,1961,11554725
11,감천항,2024,1902,12298409
12,감천항,2025,275,1905311
0,북항,2013,11449,171567260
1,북항,2014,10947,167149488
2,북항,2015,11371,166599407
3,북항,2016,12008,192688777
4,북항,2017,11795,167381977
5,북항,2018,11275,156073337
6,북항,2019,11383,163848588
7,북항,2020,10808,178002635
8,북항,2021,9798,160274759
9,북항,2022,9859,160111292
10,북항,2023,10264,159022622
11,북항,2024,8873,138634775
12,북항,2025,1188,21570370
0,신항,2013,5848,325600555
1,신항,2014,5363,318518947
2,신항,2015,6185,385321971
3,신항,2016,6170,395900445
4,신항,2017,6282,420323866
5,신항,2018,6292,441983744
6,신항,2019,6149,442974985
7,신항,2020,5486,407166079
8,신항,2021,4891,359109372
9,신항,2022,5070,363321909
10,신항,2023,5724,438019380
11,신항,2024,5891,438008912
12,신항,2025,927,70256611
