,Year,Month,Harbor name,Ship count,Weight,Year-Month
1,2010,1,부산,1592,30727140,2010-01-01
33,2010,2,부산,1421,27322348,2010-02-01
65,2010,3,부산,1595,32201638,2010-03-01
97,2010,4,부산,1619,31953619,2010-04-01
129,2010,5,부산,1709,33669914,2010-05-01
161,2010,6,부산,1605,31517430,2010-06-01
193,2010,7,부산,1798,35692042,2010-07-01
225,2010,8,부산,1697,35446151,2010-08-01
257,2010,9,부산,1652,34221880,2010-09-01
289,2010,10,부산,1730,34932870,2010-10-01
321,2010,11,부산,1689,34106738,2010-11-01
353,2010,12,부산,1638,35251713,2010-12-01
385,2011,1,부산,1721,35046137,2011-01-01
417,2011,2,부산,1485,30661160,2011-02-01
449,2011,3,부산,1768,37019087,2011-03-01
481,2011,4,부산,1752,37198871,2011-04-01
513,2011,5,부산,1674,38370050,2011-05-01
545,2011,6,부산,1557,36519899,2011-06-01
577,2011,7,부산,1659,39225003,2011-07-01
609,2011,8,부산,1686,38355237,2011-08-01
641,2011,9,부산,1628,38271259,2011-09-01
673,2011,10,부산,1689,38541630,2011-10-01
705,2011,11,부산,1657,37464354,2011-11-01
737,2011,12,부산,1701,39076304,2011-12-01
769,2012,1,부산,1646,39253968,2012-01-01
801,2012,2,부산,1459,33342805,2012-02-01
833,2012,3,부산,1711,39873374,2012-03-01
865,2012,4,부산,1675,39068709,2012-04-01
897,2012,5,부산,1717,40770656,2012-05-01
929,2012,6,부산,1681,38093665,2012-06-01
961,2012,7,부산,1808,41018831,2012-07-01
993,2012,8,부산,1587,38387207,2012-08-01
1025,2012,9,부산,1655,40876976,2012-09-01
1057,2012,10,부산,1677,41504174,2012-10-01
1089,2012,11,부산,1598,41250204,2012-11-01
1121,2012,12,부산,1646,40707599,2012-12-01
1153,2013,1,부산,1664,41415957,2013-01-01
1185,2013,2,부산,1438,35785348,2013-02-01
1217,2013,3,부산,1757,44024446,2013-03-01
1249,2013,4,부산,1709,42465574,2013-04-01
1281,2013,5,부산,1635,43646846,2013-05-01
1313,2013,6,부산,1554,42727838,2013-06-01
1345,2013,7,부산,1639,45091064,2013-07-01
1377,2013,8,부산,1627,43766797,2013-08-01
1409,2013,9,부산,1512,42262570,2013-09-01
1441,2013,10,부산,1531,41030246,2013-10-01
1473,2013,11,부산,1548,43557945,2013-11-01
1505,2013,12,부산,1570,42255463,2013-12-01
1537,2014,1,부산,1515,40974138,2014-01-01
1569,2014,2,부산,1278,36246039,2014-02-01
1601,2014,3,부산,1589,42568433,2014-03-01
1633,2014,4,부산,1580,42189943,2014-04-01
1665,2014,5,부산,1574,43686348,2014-05-01
1697,2014,6,부산,1565,44345093,2014-06-01
1729,2014,7,부산,1495,41045113,2014-07-01
