,years,months,count : 주류,price(KR) : 주류,count : 담배류,price(KR) : 담배류,count : 육류 ,price(KR) : 육류 ,count : 식품류,price(KR) : 식품류,count : 전자제품,price(KR) : 전자제품,count : 조리기구,price(KR) : 조리기구,count : 선박부품,price(KR) : 선박부품,count : 악세사리,price(KR) : 악세사리,count : 유류,price(KR) : 유류,count : 조건부선용품,price(KR) : 조건부선용품,count : 선박폐기물,price(KR) : 선박폐기물,count : 기타,price(KR) : 기타
0,2018,1,3372,544796,2630,498848,3042,301780,13237,469604,8,946,1,36,1051,5261018,0,0,197,6545537,1472,249867,0,0,1800,1078882
1,2018,2,2622,451205,2127,368899,2700,294453,11881,413513,3,152,2,69,991,4565399,0,0,186,6121240,1198,209304,0,0,1787,1523185
2,2018,3,3037,426018,2427,444871,3175,385695,13623,959216,19,3936,30,349,1229,5384268,0,0,152,5602807,1258,217360,0,0,1936,1910634
3,2018,4,3846,622739,2815,448793,3159,337081,12854,1889295,2,70,7,9,1320,10434479,0,0,214,10010254,1686,315156,0,0,2016,2965907
4,2018,5,4024,583240,2748,500612,3356,532791,13431,1498648,12,4649,9,72,1315,6929537,0,0,226,10050016,1837,1491621,0,0,2106,3325587
5,2018,6,2961,522212,2298,457716,3570,449423,14539,962535,25,7012,27,368,1382,8323061,0,0,180,8603069,1452,804410,0,0,2394,4186179
6,2018,7,2726,558268,2315,489820,3546,379619,14215,689446,14,1579,0,0,1264,7091258,0,0,201,9056952,1403,405894,0,0,2244,7752712
7,2018,8,2937,501765,2160,410430,3857,427632,14978,1171656,17,3883,0,0,1324,5989418,0,0,230,11440896,1133,213494,0,0,2341,2761475
8,2018,9,2915,500658,2217,394008,3514,364037,13673,830290,11,1077,0,0,1201,6709315,0,0,192,8286240,998,160579,0,0,1828,2232582
9,2018,10,3151,531187,2389,415185,3914,500950,15219,2191609,23,11120,0,0,1369,8310328,0,0,310,14712827,1346,379402,0,0,2288,3256458
10,2018,11,3075,666756,2479,510396,4082,434400,15724,619685,19,7399,0,0,1401,7749554,0,0,319,11423303,1427,2729034,0,0,2473,2899612
11,2018,12,3304,610354,2321,394123,3768,408475,13963,622468,14,1639,2,80,1275,5348348,0,0,286,10898155,1255,199833,0,0,1911,1832417
12,2019,1,3810,653759,2615,473857,4278,439260,16146,827224,15,2416,0,0,1241,6013138,0,0,446,17357072,1583,240920,0,0,2319,2094016
13,2019,2,2670,519993,2180,406888,3692,408448,14449,646710,23,2371,0,0,1178,11276208,0,0,399,15194757,1408,356446,0,0,2221,1984121
14,2019,3,3546,600304,2660,444270,4056,419454,15133,1137106,11,2344,9,75,1256,7214613,0,0,389,18044626,1518,277381,0,0,2289,3707963
15,2019,4,3322,621521,2495,417978,4402,546189,15978,3641731,24,3111,9,227,1387,10519026,0,0,430,16038770,1412,265389,0,0,2451,3361750
16,2019,5,3696,870142,2721,542621,4101,599661,15450,2291411,12,4813,6,20,1274,8980232,0,0,381,18372494,1585,392649,0,0,2207,3798839
