,Ship Company,Enter Time,Out Time,Duration days,Duration hours,Total duration(Hours)
0,APL,2010-03-29 14:00:00,2010-03-30 01:00:00,1,13:00:00,37
1,APL,2010-04-02 09:00:00,2010-04-02 17:00:00,1,16:00:00,40
3,APL,2010-04-04 12:00:00,2010-04-05 02:00:00,1,10:00:00,34
5,APL,2010-04-05 12:30:00,2010-04-06 06:00:00,1,06:30:00,30
8,APL,2010-04-07 21:00:00,2010-04-08 07:00:00,1,14:00:00,38
9,APL,2010-04-08 18:00:00,2010-04-09 05:00:00,1,13:00:00,37
10,APL,2010-04-09 08:00:00,2010-04-10 03:10:00,1,04:50:00,28
11,APL,2010-04-09 15:00:00,2010-04-10 00:00:00,1,15:00:00,39
12,APL,2010-04-10 18:00:00,2010-04-11 12:00:00,1,06:00:00,30
13,APL,2010-04-10 19:00:00,2010-04-11 13:00:00,1,06:00:00,30
14,MOL,2010-04-11 13:00:00,2010-04-12 11:00:00,1,02:00:00,26
15,APL,2010-04-12 16:30:00,2010-04-13 02:40:00,1,13:50:00,37
16,APL,2010-04-12 17:00:00,2010-04-13 10:00:00,1,07:00:00,31
17,APL,2010-04-13 08:30:00,2010-04-13 21:30:00,1,11:00:00,35
18,APL,2010-04-14 05:20:00,2010-04-15 04:00:00,1,01:20:00,25
19,APL,2010-04-16 07:00:00,2010-04-16 19:00:00,1,12:00:00,36
20,APL,2010-04-17 17:30:00,2010-04-18 02:00:00,1,15:30:00,39
23,APL,2010-04-18 23:00:00,2010-04-19 18:00:00,1,05:00:00,29
24,APL,2010-04-19 18:00:00,2010-04-20 15:00:00,1,03:00:00,27
25,APL,2010-04-19 20:00:00,2010-04-20 07:00:00,1,13:00:00,37
26,APL,2010-04-21 03:00:00,2010-04-21 15:30:00,1,11:30:00,35
28,APL,2010-04-23 13:30:00,2010-04-24 04:00:00,1,09:30:00,33
29,APL,2010-04-23 15:00:00,2010-04-24 04:00:00,1,11:00:00,35
