,Address,Size,Floor,Month Price,Depossit Price
0,경상남도 창원시 진해구 용원동,51.25,1 Floor,150,"2,000"
1,경상남도 창원시 진해구 용원동,43.96,1 Floor,120,"2,000"
2,경상남도 창원시 진해구 용원동,45.18,1 Floor,150,"1,000"
3,경상남도 창원시 진해구 용원동,357,6 Floor,250,1억
4,경상남도 창원시 진해구 용원동,41.04,1 Floor,95,"2,000"
5,경상남도 창원시 진해구 용원동,165,1 Floor,400,"5,000"
6,경상남도 창원시 진해구 용원동,165,1 Floor,400,"5,000"
7,경상남도 창원시 진해구 용원동,165,1 Floor,400,"5,000"
8,경상남도 창원시 진해구 용원동,59.5,1 Floor,40,500
9,경상남도 창원시 진해구 용원동,60,1 Floor,50,500
10,경상남도 창원시 진해구 용원동,244.66,3 Floor,250,"3,000"
11,경상남도 창원시 진해구 용원동,244.66,3 Floor,250,"3,000"
12,경상남도 창원시 진해구 용원동,180,1 Floor,380,"3,000"
13,경상남도 창원시 진해구 용원동,180,1 Floor,380,"3,000"
14,경상남도 창원시 진해구 용원동,60.42,1 Floor,140,"2,000"
15,경상남도 창원시 진해구 용원동,123.12,2 Floor,150,"2,000"
16,부산시 강서구 송정동,45.92,1 Floor,60,"1,000"
17,부산시 강서구 송정동,412,4 Floor,350,"3,000"
18,부산시 강서구 송정동,45.92,1 Floor,60,"1,000"
19,부산시 강서구 송정동,412,4 Floor,350,"3,000"
20,부산시 동구 초량동,44.6,2 Floor,40,500
21,부산시 동구 초량동,123,B1 Floor,150,"3,000"
22,부산시 동구 초량동,155.37,2 Floor,120,"2,000"
23,부산시 동구 초량동,155.37,2 Floor,120,"2,000"
24,부산시 동구 초량동,112.39,1 Floor,300,"6,000"
25,부산시 동구 초량동,112.39,1 Floor,300,"6,000"
26,부산시 동구 초량동,98.3,3 Floor,100,"2,000"
27,부산시 동구 초량동,98.3,3 Floor,100,"2,000"
28,부산시 동구 초량동,143.41,4 Floor,120,"2,400"
29,부산시 동구 초량동,19.83,1 Floor,40,"1,000"
30,부산시 동구 초량동,19.83,1 Floor,40,"1,000"
31,부산시 동구 초량동,222.3,1 Floor,270,"9,000"
32,부산시 동구 초량동,122.97,5 Floor,120,"3,000"
33,부산시 동구 초량동,26.7,1 Floor,100,"2,000"
