Harbor Name,Year,Ship Count,GT(Gross Tonnage)
감천항,2013,1887,10862279
감천항,2014,1661,10162338
감천항,2015,1596,10272310
감천항,2016,1568,9246336
감천항,2017,1595,9215009
감천항,2018,1618,10584856
감천항,2019,1854,11352890
감천항,2020,1670,10541506
감천항,2021,1604,10758925
감천항,2022,1755,11891261
감천항,2023,1961,11554725
감천항,2024,1902,12298409
감천항,2025,275,1905311
북항,2013,11449,171567260
북항,2014,10947,167149488
북항,2015,11371,166599407
북항,2016,12008,192688777
북항,2017,11795,167381977
북항,2018,11275,156073337
북항,2019,11383,163848588
북항,2020,10808,178002635
북항,2021,9798,160274759
북항,2022,9859,160111292
북항,2023,10264,159022622
북항,2024,8873,138634775
북항,2025,1188,21570370
신항,2013,5848,325600555
신항,2014,5363,318518947
신항,2015,6185,385321971
신항,2016,6170,395900445
신항,2017,6282,420323866
신항,2018,6292,441983744
신항,2019,6149,442974985
신항,2020,5486,407166079
신항,2021,4891,359109372
신항,2022,5070,363321909
신항,2023,5724,438019380
신항,2024,5891,438008912
신항,2025,927,70256611
