Company category,Company name,CEO,Corporate registration number,Business registration number,Address,Contact point,Latitude,Longitude
건어물 및 젓갈류 도매업,(주)반찬단지 정보 더보기,우성명,120111-0679649,137-86-39932,인천광역시 서구 건지로 95,032-574-8930,37.5,126.66
건어물 및 젓갈류 도매업,세화상사 주식회사,김점숙,171711-0111721,506-81-88731,경상북도 포항시 북구 죽도시장7,010-9173-4213,36.17,129.23
건어물 및 젓갈류 도매업,어업회사법인주식회사조혜정의멸치연구소,조혜정,195411-0026233,613-81-73569,경상남도 사천시 청송길 59,7077575440,34.93,128.11
건어물 및 젓갈류 도매업,코아사코리아 주식회사,시라하 카즈야스,110111-6623105,247-86-01150,서울특별시 중구 소월로 8,02-778-0012,37.56,126.98
"신선, 냉동 및 기타 수산물 도매업",(주)가토코,이성빈,110111-3275321,206-86-00937,서울특별시 서초구 방배중앙로 30,02-498-8011,37.48,126.99
"신선, 냉동 및 기타 수산물 도매업",(주)강남수산,허세범,180111-0392059,603-81-48710,부산광역시 서구 충무대로 181,051-253-3744,35.09,129.02
"신선, 냉동 및 기타 수산물 도매업",(주)강동유통 정보 더보기,한병수,201311-0052843,416-81-91059,전라남도 광양시 항만9,02-574-1110,34.96,127.72
"신선, 냉동 및 기타 수산물 도매업",주식회사 관우물산,김영완,284211-0041302,132-81-57774,서울특별시 송파구 양재대로 932 12,02-2043-7731,37.49,127.11
"신선, 냉동 및 기타 수산물 도매업",그린월드산업(주),공병구,180111-1460665,546-86-02788,부산광역시 동구 중앙대로 236,051-464-9495,35.12,129.04
"신선, 냉동 및 기타 수산물 도매업",(주)글로벌에스제이교역,김준형,180111-0655655,603-81-70473,부산광역시 사하구 원양로 379,051-243-0802,35.08,129.01
"신선, 냉동 및 기타 수산물 도매업",(주)남궁튜나,김민의,180111-0697467,603-81-73596,부산광역시 서구 원양로 90,070-8872-5891,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",남양무역주식회사,JIN XIANG SHU,191211-0014682,612-81-28213,경상남도 통영시 멘데해안길 147,1082388878,34.84,128.44
"신선, 냉동 및 기타 수산물 도매업",주식회사 노르코아쿠아월드,김석주,144711-0032368,597-88-02193,강원특별자치도 동해시 공단1,033-521-2770,37.49,129.11
"신선, 냉동 및 기타 수산물 도매업",대구신화수산(주),고중근,170111-0345399,504-81-74677,대구광역시 북구 매천로 63,053-313-8886,35.9,128.54
"신선, 냉동 및 기타 수산물 도매업",대림에이에프,안선주,110111-3528390,211-87-89192,서울특별시 강남구 선릉로 125,234486800,37.5,127.05
"신선, 냉동 및 기타 수산물 도매업",대방수산 주식회사,강정수,180111-0730811,603-81-75691,부산광역시 서구 암남공원로 218,051-714-5580,35.06,129.02
"신선, 냉동 및 기타 수산물 도매업",(주)대원물산,권순형,110111-6217354,276-87-00457,서울특별시 강남구 남부순환로 2913 별관,02-592-5058,37.49,127.06
"신선, 냉동 및 기타 수산물 도매업",(주)대지수산산업,배석진,110111-7044623,337-81-01405,서울특별시 성동구 아차산로 7,02-6336-4377,37.55,127.05
"신선, 냉동 및 기타 수산물 도매업",주식회사 더파이러츠,윤기홍,110111-6627769,116-86-00992,서울특별시 영등포구 선유로 146,02-2068-3241,37.53,126.89
"신선, 냉동 및 기타 수산물 도매업",(주)더한인터내셔날,전유진,180111-0941608,602-81-66675,경상남도 양산시 덕계11,055-365-1373,35.37,129.17
"신선, 냉동 및 기타 수산물 도매업",주식회사 디비코포레이션,김성준,180111-0952514,603-81-89934,부산광역시 서구 원양로 35,051-256-8811,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",( 주 ) 마린수산,백원흠,195511-0105514,615-81-61109,경기도 용인시 기흥구 신정로 252,031-261-3861,37.29,127.1
"신선, 냉동 및 기타 수산물 도매업",주식회사 마린스인터내셔날,이승준,144711-0021220,222-81-30011,강원도 동해시 중앙로 152 402,033-533-2511,37.52,129.12
"신선, 냉동 및 기타 수산물 도매업",마린트럼프인터내셔날(주),전용준,180111-0511617,605-81-70955,경기도 용인시 수지구 샘말로 56,031-261-4919,37.35,127.05
"신선, 냉동 및 기타 수산물 도매업",마하트레이딩 주식회사,박우용,180111-0568634,603-81-63405,부산광역시 서구 원양로 125,051-256-2465,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",주식회사 바다푸드,김영호,170111-0514077,504-86-10775,대구광역시 북구 고촌길 216 1090,053-326-6867,35.91,128.6
"신선, 냉동 및 기타 수산물 도매업",주식회사 바이킹마켓 정보 더보기,박제준,121111-0161190,130-86-29170,인천광역시 중구 공항동로 296,070-4496-1162,37.47,126.48
"신선, 냉동 및 기타 수산물 도매업",(주)밝은무역,이병철,180111-1007277,445-81-00288,부산광역시 서구 원양로 310,070-8877-0377,35.08,129.01
"신선, 냉동 및 기타 수산물 도매업",(주)보람코퍼레이션,강재천,180111-0373132,603-81-46667,부산광역시 서구 암남공원로 15,051-262-6084,35.07,129.02
"신선, 냉동 및 기타 수산물 도매업",(주)보물섬수산,이진규,160111-0375314,314-86-60328,대전광역시 유성구 계룡로 15,042-523-0355,36.36,127.33
"신선, 냉동 및 기타 수산물 도매업",주식회사 불루아이스,최호영,180111-1223542,887-87-01483,"부산광역시 서구 원양로 179 Binh Duong Province, Vietnam",517123300,35.07,129.01
"신선, 냉동 및 기타 수산물 도매업",산호상사 주식회사,최우열,110111-5174571,215-87-84447,경기도 하남시 미사강변한강로 135 다1023,3151750893,37.58,127.19
"신선, 냉동 및 기타 수산물 도매업",삼보수산 주식회사,안홍진,180111-0658873,603-81-70866,부산광역시 서구 원양로 35 회관동,051-256-9930,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",주식회사 생생무역,조기형,180111-0483759,603-81-56205,부산광역시 서구 원양로 105,512567411,35.06,129.01
"신선, 냉동 및 기타 수산물 도매업",(주) 성우마린,홍완식,110111-1528962,213-86-34677,서울특별시 강남구 광평로 280,02-3413-0755,37.49,127.1
"신선, 냉동 및 기타 수산물 도매업",주식회사 성화유통,장진성,121111-0180538,130-86-38908,인천광역시 계양구 서운산업로 50,326519355,37.53,126.76
"신선, 냉동 및 기타 수산물 도매업",(주)신진아이앤디,경철호,135711-0068306,126-86-13306,경기도 하남시 미사동로 37,031-792-4425,37.57,127.2
"신선, 냉동 및 기타 수산물 도매업",(주)신화유통,오충헌,120111-0633661,121-86-20914,인천광역시 중구 연안부두로 99,032-888-8045,37.45,126.6
"신선, 냉동 및 기타 수산물 도매업",아리스타씨푸드 주식회사,박기태,180111-1452109,351-88-02414,부산광역시 동구 중앙대로 233,051-469-7486,35.12,129.04
"신선, 냉동 및 기타 수산물 도매업",주식회사 아이씨인터네셔날,박병연,180111-1301827,213-88-01490,"부산광역시 서구 원양로 1 에이동 ,",051-710-6113,35.05,129.01
"신선, 냉동 및 기타 수산물 도매업",주식회사 아토무역,윤성웅,180111-1020790,534-86-00394,부산광역시 서구 원양로 310,512563100,35.08,129.01
"신선, 냉동 및 기타 수산물 도매업",어업회사법인한울주식회사,최희종,191211-0032436,805-88-01246,경상남도 통영시 미우지해안로 63,556495917,34.83,128.4
"신선, 냉동 및 기타 수산물 도매업",주식회사 엠디에스,이동재,110111-3338228,101-86-19015,경기도 남양주시 화도읍 경춘로지현1,031-575-4023,37.66,127.33
"신선, 냉동 및 기타 수산물 도매업",주식회사 엠씨엔케이,어기석,134811-0653205,390-81-02327,경기도 화성시 향남읍 행정서로 32 지하1,031-8059-4477,37.13,126.92
"신선, 냉동 및 기타 수산물 도매업",주식회사 예울에프씨,김상철,110111-4330710,105-87-43566,서울특별시 서대문구 연희로 28 303,1599-0074,37.56,126.93
