Company category,Company name,CEO,Corporate registration number,Business registration number,Address,Contact point,Latitude,Longitude
육류 가공식품 도매업,(주)가나안푸드,고안복,205511-0018920,412-81-25751,전라남도 나주시 산포면 매성리 291,061-332-9998,35.03,126.81
육류 가공식품 도매업,주식회사 가우정푸드,오송균,230111-0225142,610-86-30789,경상남도 거창군 남상면 홍덕길 33,559458100,35.65,127.93
육류 가공식품 도매업,농업회사법인주식회사강한돈,추연수,154411-0020169,303-81-61657,충청북도 충주시 주덕읍 충청대로 2312,043-854-5620,36.96,127.78
육류 가공식품 도매업,농업회사법인 주식회사대광푸드,이병춘,154511-0056378,303-81-71233,충청북도 음성군 삼성면 대청로 54,043-535-1228,36.99,127.46
육류 가공식품 도매업,농업회사법인 주식회사 스마일팜,김천석,200111-0342067,409-86-29192,경기도 광주시 오포읍 봉골길 134,070-8877-6464,37.35,127.2
육류 가공식품 도매업,농업회사법인 (주)씨엔푸드,유인식,134811-0393380,343-88-00695,경기도 화성시 송산면 송산포도로 575,032-512-8639,37.23,126.69
육류 가공식품 도매업,농업회사법인(유)참푸른글로벌,송석찬,204414-0003978,818-86-00268,전라남도 담양군 담양읍 월광로 43 참푸른글로벌,061-383-9466,35.33,126.98
육류 가공식품 도매업,(주)농협목우촌,조재철 정보 더보기,110111-3499567,215-86-87597,서울특별시 강동구 올림픽로 528,02-2224-8800,37.53,127.12
육류 가공식품 도매업,(주)다름플러스,이억불,110111-6451944,576-88-00693,서울특별시 강동구 천호대로 1077,02-409-4242,37.54,127.13
육류 가공식품 도매업,주식회사 다인푸드,장병철,135511-0150678,140-81-01683,경기도 시흥시 호현로 235,031-313-6452,37.46,126.79
육류 가공식품 도매업,주식회사 대덕식품,김성규,160111-0183296,305-81-72941,대전광역시 대덕구 오정동 705,042-638-7388,36.36,127.4
육류 가공식품 도매업,주식회사 마세다린,정태환,131111-0101558,129-81-65303,경기도 용인시 수지구 고기로 97,031-276-7292,37.36,127.07
육류 가공식품 도매업,미트리 주식회사,이옥진,180111-0927054,606-86-57741,부산광역시 사상구 학감대로 252,051-995-6135,35.15,128.99
육류 가공식품 도매업,(주)미트원,유래경,115411-0020538,127-81-33620,경기도 하남시 산곡동로 12,031-793-8855,37.5,127.23
육류 가공식품 도매업,주식회사민속친한우,권민석,174311-0013211,160-81-01391,경상북도 군위군 군위읍 경북대로 4052,054-383-8801,36.26,128.57
육류 가공식품 도매업,(주)수지스퀴진,박수지,110111-4700070,106-86-81644,서울특별시 용산구 녹사평대로 138,27973702,37.53,126.99
