Year,Month,Harbor name,Ship count,Weight
2010,1,부산,"1,592","30,727,140"
2010,1,인천,687,"10,918,376"
2010,1,평택.당진,272,"6,350,729"
2010,1,경인항,0,0
2010,1,동해.묵호,77,"790,136"
2010,1,삼척,7,"13,402"
2010,1,속초,14,"105,590"
2010,1,옥계,7,"104,016"
2010,1,호산,0,0
2010,1,대산,145,"3,251,963"
2010,1,보령,17,"797,575"
2010,1,태안,14,"607,333"
2010,1,군산,144,"2,916,824"
2010,1,장항,7,"14,532"
2010,1,목포,74,"1,420,124"
2010,1,완도,0,0
2010,1,여수,150,"3,658,804"
2010,1,광양,585,"16,289,751"
2010,1,포항,237,"2,735,303"
2010,1,마산,121,"1,654,001"
2010,1,삼천포,14,"376,451"
2010,1,옥포,8,"27,943"
2010,1,장승포,0,0
2010,1,진해,14,"90,473"
2010,1,통영,11,"5,562"
2010,1,고현,4,"36,116"
2010,1,하동,15,"723,974"
2010,1,울산,661,"11,384,887"
2010,1,제주,15,"195,462"
2010,1,서귀포,0,0
2010,1,기타,0,0
2010,2,부산,"1,421","27,322,348"
2010,2,인천,609,"9,297,546"
2010,2,평택.당진,278,"6,078,228"
2010,2,경인항,0,0
2010,2,동해.묵호,72,"858,949"
2010,2,삼척,6,"11,582"
2010,2,속초,6,"39,893"
2010,2,옥계,10,"174,949"
2010,2,호산,0,0
2010,2,대산,119,"2,672,920"
2010,2,보령,13,"583,488"
2010,2,태안,12,"514,108"
2010,2,군산,133,"2,746,014"
2010,2,장항,5,"14,012"
2010,2,목포,77,"1,322,312"
2010,2,완도,0,0
2010,2,여수,127,"3,191,123"
2010,2,광양,529,"13,872,677"
2010,2,포항,234,"2,387,904"
2010,2,마산,108,"1,546,987"
2010,2,삼천포,8,"384,606"
2010,2,옥포,10,"71,573"
2010,2,장승포,0,0
2010,2,진해,16,"112,428"
2010,2,통영,11,"14,357"
2010,2,고현,4,"52,862"
2010,2,하동,10,"391,157"
2010,2,울산,645,"11,366,192"
2010,2,제주,11,"205,107"
2010,2,서귀포,0,0
2010,2,기타,0,0
2010,3,부산,"1,595","32,201,638"
2010,3,인천,744,"12,118,556"
2010,3,평택.당진,357,"7,768,939"
2010,3,경인항,0,0
2010,3,동해.묵호,85,"838,862"
2010,3,삼척,10,"17,031"
2010,3,속초,11,"104,260"
2010,3,옥계,4,"78,903"
2010,3,호산,0,0
2010,3,대산,145,"3,487,872"
2010,3,보령,14,"610,867"
2010,3,태안,13,"626,830"
2010,3,군산,138,"3,247,205"
2010,3,장항,7,"15,597"
2010,3,목포,84,"1,644,635"
2010,3,완도,1,396
2010,3,여수,111,"2,878,980"
2010,3,광양,591,"14,831,133"
2010,3,포항,262,"3,020,483"
2010,3,마산,138,"1,905,245"
2010,3,삼천포,12,"385,016"
2010,3,옥포,10,"56,047"
2010,3,장승포,0,0
2010,3,진해,15,"154,475"
2010,3,통영,14,"7,330"
2010,3,고현,11,"69,537"
2010,3,하동,13,"690,402"
2010,3,울산,745,"13,104,898"
2010,3,제주,14,"312,015"
2010,3,서귀포,0,0
2010,3,기타,0,0
2010,4,부산,"1,619","31,953,619"
2010,4,인천,713,"10,621,215"
2010,4,평택.당진,317,"6,359,119"
2010,4,경인항,0,0
2010,4,동해.묵호,83,"752,729"
2010,4,삼척,10,"17,994"
2010,4,속초,11,"116,909"
2010,4,옥계,4,"100,520"
2010,4,호산,0,0
2010,4,대산,112,"2,796,062"
2010,4,보령,8,"427,170"
2010,4,태안,11,"572,909"
2010,4,군산,127,"3,092,307"
2010,4,장항,10,"23,508"
2010,4,목포,81,"1,937,726"
2010,4,완도,0,0
2010,4,여수,121,"2,766,516"
2010,4,광양,590,"15,952,904"
2010,4,포항,276,"2,741,436"
2010,4,마산,114,"1,813,546"
2010,4,삼천포,7,"257,970"
2010,4,옥포,7,"46,337"
2010,4,장승포,0,0
2010,4,진해,15,"103,550"
2010,4,통영,26,"23,122"
2010,4,고현,8,"89,587"
2010,4,하동,12,"568,116"
2010,4,울산,711,"12,744,204"
2010,4,제주,21,"366,664"
2010,4,서귀포,0,0
2010,4,기타,0,0
2010,5,부산,"1,709","33,669,914"
2010,5,인천,700,"11,142,264"
2010,5,평택.당진,324,"6,736,108"
2010,5,경인항,0,0
2010,5,동해.묵호,112,"1,131,590"
2010,5,삼척,10,"18,122"
2010,5,속초,11,"104,093"
2010,5,옥계,7,"130,789"
2010,5,호산,0,0
2010,5,대산,141,"3,316,878"
2010,5,보령,8,"397,725"
2010,5,태안,12,"544,908"
2010,5,군산,149,"3,362,513"
2010,5,장항,8,"15,103"
2010,5,목포,87,"1,927,623"
2010,5,완도,0,0
