,Ship Company,Enter Time,Out Time,Duration days,Duration hours,Total duration(Hours),Day difference
0,HAS,2011-02-20 02:00:00,2011-02-20 09:00:00,1,17:00:00,41,-1 days +17:00:00
1,HAS,2011-02-27 03:00:00,2011-02-27 10:00:00,1,17:00:00,41,-1 days +17:00:00
2,HAS,2011-03-06 17:00:00,2011-03-06 19:00:00,1,22:00:00,46,-1 days +22:00:00
3,HAS,2011-03-13 16:10:00,2011-03-13 18:00:00,1,22:10:00,46,-1 days +22:10:00
4,HAS,2011-03-20 01:20:00,2011-03-20 09:00:00,1,16:20:00,40,-1 days +16:20:00
5,HAS,2011-03-27 03:00:00,2011-03-27 09:00:00,1,18:00:00,42,-1 days +18:00:00
6,HAS,2011-04-04 07:00:00,2011-04-04 12:00:00,1,19:00:00,43,-1 days +19:00:00
7,HAS,2011-04-17 10:30:00,2011-04-17 12:00:00,1,22:30:00,46,-1 days +22:30:00
8,HAS,2011-04-24 11:30:00,2011-04-24 13:00:00,1,22:30:00,46,-1 days +22:30:00
9,HAS,2011-05-10 09:00:00,2011-05-10 13:00:00,1,20:00:00,44,-1 days +20:00:00
10,HAS,2011-05-16 11:40:00,2011-05-16 16:00:00,1,19:40:00,43,-1 days +19:40:00
11,HAS,2011-05-22 11:00:00,2011-05-22 13:00:00,1,22:00:00,46,-1 days +22:00:00
12,HAS,2011-05-29 11:10:00,2011-05-29 14:00:00,1,21:10:00,45,-1 days +21:10:00
13,HAS,2011-06-05 10:00:00,2011-06-05 13:00:00,1,21:00:00,45,-1 days +21:00:00
14,HAS,2011-07-17 09:30:00,2011-07-17 13:00:00,1,20:30:00,44,-1 days +20:30:00
15,HAS,2011-07-25 02:00:00,2011-07-25 05:00:00,1,21:00:00,45,-1 days +21:00:00
16,HJC,2011-08-07 11:00:00,2011-08-07 15:10:00,1,19:50:00,43,-1 days +19:50:00
17,HAS,2011-08-14 10:10:00,2011-08-14 13:00:00,1,21:10:00,45,-1 days +21:10:00
18,NSL,2012-01-08 03:20:00,2012-01-08 08:00:00,1,19:20:00,43,-1 days +19:20:00
19,SKR,2012-03-13 15:20:00,2012-03-13 19:00:00,1,20:20:00,44,-1 days +20:20:00
